2018-02-27 19:06:17,116 [JavaFX Application Thread] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "dfki-poppy-hsmm", audio "WAVE")
2018-02-27 19:06:17,116 [JavaFX Application Thread] INFO  marytts.R 1 Handling request using the following modules:
2018-02-27 19:06:17,117 [JavaFX Application Thread] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2018-02-27 19:06:17,117 [JavaFX Application Thread] INFO  marytts.R 1 Next module: TextToMaryXML
2018-02-27 19:06:17,227 [JavaFX Application Thread] INFO  marytts.R 1 Handling request using the following modules:
2018-02-27 19:06:17,227 [JavaFX Application Thread] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2018-02-27 19:06:17,227 [JavaFX Application Thread] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2018-02-27 19:06:17,227 [JavaFX Application Thread] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2018-02-27 19:06:17,227 [JavaFX Application Thread] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2018-02-27 19:06:17,227 [JavaFX Application Thread] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2018-02-27 19:06:17,228 [JavaFX Application Thread] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2018-02-27 19:06:17,228 [JavaFX Application Thread] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2018-02-27 19:06:17,228 [JavaFX Application Thread] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2018-02-27 19:06:17,228 [JavaFX Application Thread] INFO  marytts.R 1 Next module: JTokeniser
2018-02-27 19:06:17,233 [JavaFX Application Thread] INFO  marytts.R 1 Next module: Preprocess
2018-02-27 19:06:17,260 [JavaFX Application Thread] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2018-02-27 19:06:17,269 [JavaFX Application Thread] INFO  marytts.R 1 Next module: JPhonemiser
2018-02-27 19:06:17,280 [JavaFX Application Thread] ERROR marytts.JPhonemiser Problem with token <£> []: Cannot syllabify empty phone string
2018-02-27 19:06:17,282 [JavaFX Application Thread] INFO  marytts.R 1 Next module: Prosody
2018-02-27 19:06:17,287 [JavaFX Application Thread] INFO  marytts.R 1 Next module: PronunciationModel
2018-02-27 19:06:17,290 [JavaFX Application Thread] INFO  marytts.R 1 Next module: AcousticModeller
2018-02-27 19:06:17,326 [JavaFX Application Thread] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
